feature_set,year,block,ROC_AUC,PR_AUC,Brier,n_test,n_train,prevalence
AEF+Stack,2023,1,0.3477366255144033,0.02003313520530163,0.03929847851395607,165,10866,0.018
AEF+Stack,2023,2,0.494062244062244,0.22435585113386852,0.1664380431175232,181,10770,0.182
AEF+Stack,2023,3,0.5552531301034295,0.0823658711344221,0.062167178839445114,178,10788,0.062
AEF+Stack,2023,4,0.359375,0.018022541877003688,0.0633217990398407,212,10584,0.019
AEF+Stack,2023,5,0.44576719576719576,0.03589912858463437,0.04245593398809433,258,10308,0.023
AEF+Stack,2023,6,0.7285714285714285,0.20059788217178676,0.0571221224963665,187,10734,0.064
AEF+Stack,2023,7,0.878415300546448,0.2290294861906115,0.03720901161432266,191,10710,0.042
AEF+Stack,2023,8,0.5333572453371592,0.10407493663770159,0.08901918679475784,181,10770,0.094
AEF+Stack,2023,9,0.7004405286343613,0.03488620199146515,0.03883720189332962,230,10476,0.013
AEF+Stack,2024,0,0.5549738219895288,0.01689664883131512,0.08612760901451111,193,10698,0.01
AEF+Stack,2024,1,0.16925465838509315,0.017404698719755377,0.21501363813877106,165,10866,0.024
AEF+Stack,2024,2,0.36818181818181817,0.04813729613425849,0.03827282786369324,181,10770,0.028
AEF+Stack,2024,3,0.37984496124031003,0.03683183090522782,0.06185345724225044,178,10788,0.034
AEF+Stack,2024,4,0.5901116427432216,0.030250136603727763,0.18764063715934753,212,10584,0.014
AEF+Stack,2024,5,0.19723337795626952,0.0225718107055942,0.19972044229507446,258,10308,0.035
AEF+Stack,2024,6,0.3189189189189189,0.01166984213391399,0.05437562242150307,187,10734,0.011
AEF+Stack,2024,7,0.5344086021505376,0.033268467086197476,0.07672373950481415,191,10710,0.026
AEF+Stack,2024,8,0.5955056179775281,0.043948412698412695,0.044766105711460114,181,10770,0.017
AEF+Stack,2024,9,0.3132440476190476,0.02420673273312837,0.1046876460313797,230,10476,0.026
